;Mom   
199910;5.5
199911;5.64
199912;13.22
200001;1.92
200002;18.2
200003;-6.83
200004;-8.39
200005;-8.98
200006;16.6
200007;-0.05
200008;5.73
200009;1.97
200010;-4.48
200011;-2.32
200012;6.74
200101;-25.3
200102;12.57
200103;8.55
200104;-7.9
200105;2.21
200106;0.38
200107;5.58
200108;5.53
200109;11.48
200110;-8.47
200111;-8.69
200112;0.07
200201;3.75
200202;6.82
200203;-1.64
200204;7.63
200205;3.16
200206;6.03
200207;3.77
200208;1.9
200209;9.13
200210;-5.58
200211;-16.33
200212;9.64
200301;1.55
200302;1.17
200303;1.48
200304;-9.33
200305;-10.7
200306;-1
200307;-0.24
200308;-0.62
200309;-0.19
200310;3.99
200311;1.46
200312;-5.57
200401;2.58
200402;-1.14
200403;0.17
200404;-5.38
200405;1.5
200406;2.05
200407;-2.29
200408;-1.59
200409;5.49
200410;-1.38
200411;3.16
200412;-2.87
200501;3.05
200502;3.37
200503;0.41
200504;-0.69
200505;0.45
200506;2.05
200507;0.06
200508;2.08
200509;3.43
200510;-1.39
200511;0.35
200512;0.77
200601;2.53
200602;-1.84
200603;1.26
200604;0.64
200605;-3.7
200606;1.54
200607;-2.12
200608;-3.38
200609;-0.96
200610;-0.2
200611;-1.03
200612;0.79
200701;0.24
200702;-1.35
200703;2.56
200704;-0.24
200705;-0.34
200706;0.51
200707;2.94
200708;0.1
200709;4.63
200710;5.02
200711;0.99
200712;6.63
200801;-7.75
200802;6.1
200803;4.27
200804;-0.31
200805;3.31
200806;12.75
200807;-5.13
200808;-4.02
200809;0.28
200810;7.85
200811;7.17
200812;-5.09
200901;-2.18
200902;4.41
200903;-11.87
200904;-34.3
200905;-12.49
200906;5.48
200907;-5.55
200908;-9.07
200909;-4.79
200910;2.61
200911;0.3
200912;3.01
201001;-5.4
201002;3.74
201003;3.76
201004;3.16
201005;-0.25
201006;-2.76
201007;1.88
201008;-0.06
201009;1.41
201010;1.58
201011;2.66
201012;-3.03
201101;-0.29
201102;1.99
201103;3.4
201104;0.04
201105;-0.62
201106;1.78
201107;0.18
201108;-0.28
201109;-2.42
201110;-1.43
201111;3.84
201112;1.81
201201;-7.91
201202;-0.29
201203;1.3
201204;3.75
201205;6.49
201206;-1.06
201207;3.04
201208;-2.37
201209;-1.14
201210;0.14
201211;0.49
201212;-2.86
201301;-1.79
201302;1.29
201303;1.92
201304;0.22
201305;-2.02
201306;0.52
201307;1.76
201308;0.02
201309;3.06
201310;0.08
201311;0.44
201312;0.02
201401;1.71
201402;2.07
201403;-3.29
201404;-3.89
201405;0.87
201406;0.69
201407;-0.12
201408;0.82
201409;0.5
201410;-0.06
201411;0.69
201412;1.12
201501;3.84
201502;-2.82
201503;2.74
201504;-7.27
201505;5.82
201506;3.01
201507;9.98
201508;-2.09
201509;5.22
201510;-3.28
201511;2.28
201512;3.36
201601;1.44
201602;-4.38
201603;-5.01
201604;-6.02
201605;1.42
201606;4.13
201607;-3.34
201608;-3.49
201609;0.19
201610;0.6
201611;-4.62
201612;-0.26
201701;-0.93
201702;-1.65
201703;-1.02
201704;0.48
201705;1.48
201706;-0.09
201707;1.68
201708;3.26
201709;-1.32
201710;4.27
201711;-0.87
201712;-1.54
201801;4.05
201802;3.58
201803;-1.13
201804;0.36
201805;3.89
201806;-2.35
201807;-1.41
201808;5.29
201809;0.04
201810;-1.99
201811;-1.37
201812;2.11
201901;-8.68
201902;0.86
201903;2.21
201904;-2.97
201905;7.56
201906;-2.3
201907;2.89
201908;6.92
201909;-6.81
201910;0.15
201911;-2.66
201912;-1.77
202001;5.98
202002;-0.4
202003;7.97
202004;-5.23
202005;0.43
202006;-0.73
202007;7.61
202008;0.55
202009;3.12
202010;-3.05
202011;-12.43
202012;-2.32
202101;4.5
202102;-7.89
202103;-6.14
202104;1.16
202105;0.88
202106;2.2
202107;-2.25
202108;2.51
202109;1.49
202110;3.19
202111;0.9
202112;-2.6
202201;-2.52
202202;1.76
202203;3.01
202204;4.87
202205;2.46
202206;0.77
202207;-3.94
202208;1.99
202209;3.47
202210;3.87
202211;-2.01
202212;4.52
202301;-15.98
202302;0.2
202303;-2.52
